'Assignment group','Business service',Category,Company,'Created Time','Created by','Has Parent',Impact,'Major Problem','Opened by',Priority,Type,Urgency
Other,'Communication Device',Application,'FedEx Services',night,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Computer,Application,'FedEx Express',morning,Other,True,1,True,'David Light',1,ITCC,3
Other,Server,Application,'FedEx Ground',afternoon,Other,True,1,False,Other,1,Standard,3
Other,Network,Application,'FedEx Services',night,Other,True,1,True,'David Light',1,ITCC,3
Other,Server,Application,'FedEx Express',night,ID5285658,True,1,True,'Shafi Ahmed',1,ITCC,3
Other,Scanner,Application,'TNT Express',morning,ID5285658,True,1,True,'Shafi Ahmed',1,Standard,3
Other,Computer,Application,'FedEx Freight Inc.',morning,Other,True,1,True,'David Light',1,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID973921,False,1,True,'Stephen Barch',1,ITCC,3
Other,Server,Application,'FedEx Services',evening,ID3667964,True,0,True,'DZundra Green',0.25,ITCC,2
Other,Network,Application,'FedEx Services',afternoon,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Network,Application,'FedEx Services',afternoon,ID5305519,True,1,True,'Ashish Bisht',1,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
Other,Scanner,Application,'FedEx Ground',morning,Other,True,1,False,Other,1,Standard,3
Other,Server,Application,'FedEx Services',afternoon,ID973921,True,0.5,True,'Stephen Barch',0.5,ITCC,2
Other,Server,Application,'FedEx Services',evening,ID3667964,True,0.5,True,'DZundra Green',0.5,ITCC,2
Other,Server,Application,'FedEx Services',night,Other,True,1,True,'David Light',1,ITCC,3
Other,Network,Application,Other,night,Other,True,0.5,True,'Sean Green',0.75,ITCC,3
Other,Server,Application,'FedEx Services',night,ID5285658,True,1,True,'Shafi Ahmed',1,ITCC,3
Other,Mainframe,Application,'FedEx Express',morning,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Server,Application,'FedEx Services',evening,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID973921,True,1,True,'Stephen Barch',1,ITCC,3
Other,Server,Application,'FedEx Services',morning,Other,True,1,False,Other,1,Standard,3
Other,Mainframe,Hardware,'FedEx Express',afternoon,ID973921,True,1,True,'Stephen Barch',0.5,ITCC,1
FXS_EIS_GLB_ProblemMgmt,Computer,Application,'FedEx Ground',afternoon,ID5305519,True,1,True,'Ashish Bisht',1,ITCC,3
Other,Server,Hardware,'FedEx Services',afternoon,ID973921,True,0.5,True,'Stephen Barch',0.5,ITCC,2
Other,Server,Application,'FedEx Services',night,Other,True,0.5,True,Other,0.75,ITCC,3
Other,Computer,Application,Other,morning,Other,True,1,False,'Stephen Wolff',1,Standard,3
Other,Network,Application,'FedEx Services',morning,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Server,Application,'FedEx Services',night,ID5305519,True,1,True,'Ashish Bisht',0.5,ITCC,1
Other,Computer,'Inquiry / Help','FedEx Freight Inc.',afternoon,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Server,Application,'FedEx Services',night,ID5285658,True,1,True,'Shafi Ahmed',1,ITCC,3
Other,Scanner,Application,Other,afternoon,Other,False,1,False,Other,1,Proactive,3
Other,Scanner,Hardware,'FedEx Services',afternoon,ID3667964,True,1,True,'DZundra Green',0.75,ITCC,2
Other,Server,Application,'FedEx Services',afternoon,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
FXS_APSCITL3OMSSTERLING,Database,Application,Other,night,Other,False,1,False,Other,0.75,Standard,2
Other,Server,Application,'FedEx Services',morning,Other,True,1,True,'Herman Holeyfield',1,ITCC,3
Other,Database,Hardware,'FedEx Services',morning,ID973921,True,1,True,'Stephen Barch',1,ITCC,3
Other,Network,Application,'FedEx Services',night,Other,True,1,True,'Sean Green',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
Other,Server,Application,'FedEx Services',night,ID5285658,True,0.5,True,'Shafi Ahmed',0.5,ITCC,2
Other,Network,Hardware,'FedEx Office',night,Other,True,0.5,True,'David Light',0.5,ITCC,2
Other,Server,Application,Other,morning,Other,False,1,False,'Michael Olton',1,Standard,3
Other,Network,Application,'FedEx Services',morning,ID836059,True,0.5,True,'Khouri Mitchell',0.5,ITCC,2
Other,Network,Hardware,'FedEx Services',night,ID5285658,True,1,True,'Shafi Ahmed',1,Standard,3
FSC_ITL3O2STIBCO,Server,Application,Other,morning,Other,True,1,False,'Naveen Kumar',0.75,Standard,2
Other,Server,'Inquiry / Help','FedEx Services',morning,ID847287,True,1,True,'Logan Simmons',0.75,ITCC,2
Other,Server,Application,'FedEx Services',night,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
Other,Scanner,Hardware,'FedEx Services',morning,Other,True,1,True,'Herman Holeyfield',0.75,ITCC,2
